"","lane","tile","code","value"
"993",1,1203,103,2343367
"996",1,1204,103,2396495
"998",1,1205,103,2413374
"1008",1,1206,103,2453973
"1004",1,1207,103,2512695
"1010",1,1208,103,2548186
"1015",1,1209,103,2582862
"1020",1,1210,103,2635306
"1027",1,1211,103,2705299
"1033",1,1212,103,2741652
"1036",1,1213,103,2768788
"1044",1,1214,103,2782130
"1046",1,1215,103,2815242
"1050",1,1216,103,2841414
"1056",1,2101,103,2247117
"1060",1,2102,103,2290739
"1067",1,2103,103,2352384
"1073",1,2104,103,2410416
"1075",1,2105,103,2408264
"1084",1,2106,103,2502088
"1086",1,2107,103,2542301
"1090",1,2108,103,2576602
"1095",1,2109,103,2602224
"1100",1,2110,103,2664657
"1106",1,2111,103,2741054
"1113",1,2112,103,2795324
"1115",1,2113,103,2831140
"1123",1,2114,103,2861177
"1125",1,2115,103,2898312
"1130",1,2116,103,2898982
"1135",1,2201,103,2252475
"1140",1,2202,103,2301827
"1145",1,2203,103,2360352
"1151",1,2204,103,2420770
"1155",1,2205,103,2439773
"1162",1,2206,103,2503599
"1168",1,2207,103,2548244
"1175",1,2208,103,2582924
"1171",1,2209,103,2615133
"1180",1,2210,103,2680650
"1185",1,2211,103,2765740
"1191",1,2212,103,2809297
"1195",1,2213,103,2850677
"1202",1,2214,103,2883393
"1206",1,2215,103,2907664
"1216",1,2216,103,2926639
"385",1,1101,200,0
"647",1,1101,200,0.00118782033678144
"901",1,1101,200,0.00118782033678144
"387",1,1102,200,0
"643",1,1102,200,0.00121640134602785
"913",1,1102,200,0.00121640134602785
"391",1,1103,200,0
"653",1,1103,200,0.00117118610069156
"903",1,1103,200,0.00117118610069156
"389",1,1104,200,0
"657",1,1104,200,0.00114599952939898
"905",1,1104,200,0.00114599952939898
"397",1,1105,200,0
"645",1,1105,200,0.00121709029190242
"907",1,1105,200,0.00121709029190242
"395",1,1106,200,0
"655",1,1106,200,0.00110137567389756
"911",1,1106,200,0.00110137567389756
"393",1,1107,200,0
"651",1,1107,200,0.00103263114579022
"909",1,1107,200,0.00103263114579022
"399",1,1108,200,0
"649",1,1108,200,0.00113370781764388
"899",1,1108,200,0.00113370781764388
"401",1,1109,200,0
"659",1,1109,200,0.000938596436753869
"936",1,1109,200,0.000938596436753869
"403",1,1110,200,0
"669",1,1110,200,0.00106954306829721
"941",1,1110,200,0.00106954306829721
"409",1,1111,200,0
"661",1,1111,200,0.000860360742080957
"951",1,1111,200,0.000860360742080957
"407",1,1112,200,0
"665",1,1112,200,0.00108142243698239
"945",1,1112,200,0.00108142243698239
"405",1,1113,200,0
"667",1,1113,200,0.000988837797194719
"949",1,1113,200,0.000988837797194719
"411",1,1114,200,0
"663",1,1114,200,0.00107343250419945
"961",1,1114,200,0.00107343250419945
"415",1,1115,200,0
"673",1,1115,200,0.00114299450069666
"959",1,1115,200,0.00114299450069666
"413",1,1116,200,0
"671",1,1116,200,0.00104484485927969
"963",1,1116,200,0.00104484485927969
"419",1,1201,200,0
"677",1,1201,200,0.0012558902380988
"972",1,1201,200,0.0012558902380988
"423",1,1202,200,0
"681",1,1202,200,0.00111449998803437
"977",1,1202,200,0.00111449998803437
"429",1,1203,200,0
"679",1,1203,200,0.00137035537045449
"985",1,1203,200,0.00137035537045449
"417",1,1204,200,0
"675",1,1204,200,0.00119038484990597
"990",1,1204,200,0.00119038484990597
"425",1,1205,200,0
"689",1,1205,200,0.00112146197352558
"988",1,1205,200,0.00112146197352558
"421",1,1206,200,0
"685",1,1206,200,0.00113752379547805
"1001",1,1206,200,0.00113752379547805
"431",1,1207,200,0
"683",1,1207,200,0.00121957552619278
"999",1,1207,200,0.00121957552619278
"427",1,1208,200,0
"687",1,1208,200,0.00103796017356217
