"","lane","tile","code","value"
"1",1,1101,100,815518
"2",1,1102,100,837055.1875
"3",1,1103,100,861977.75
"4",1,1104,100,885438.5
"5",1,1105,100,908224.25
"6",1,1106,100,924064.1875
"7",1,1107,100,940336.4375
"8",1,1108,100,959045.125
"9",1,1109,100,973083.625
"10",1,1110,100,992495.4375
"11",1,1111,100,1029837.4375
"12",1,1112,100,1049950.625
"13",1,1113,100,1068723.625
"14",1,1114,100,1087160
"15",1,1115,100,1094483.25
"16",1,1116,100,1113062.5
"17",1,1201,100,818552.0625
"18",1,1202,100,839181.5625
"19",1,1203,100,865460.375
"20",1,1204,100,888900.3125
"21",1,1205,100,909700.3125
"22",1,1206,100,923179.5
"23",1,1207,100,942166.625
"24",1,1208,100,959652.0625
"25",1,1209,100,974993.375
"26",1,1210,100,1000934
"27",1,1211,100,1034920.8125
"28",1,1212,100,1056668.75
"29",1,1213,100,1073020.5
"30",1,1214,100,1089919.375
"31",1,1215,100,1106728.125
"32",1,1216,100,1122397.875
"33",1,2101,100,821135.0625
"34",1,2102,100,838574.25
"35",1,2103,100,863379.5
"36",1,2104,100,887938.5
"37",1,2105,100,908655.875
"38",1,2106,100,928303.8125
"39",1,2107,100,947283.625
"40",1,2108,100,964142.3125
"41",1,2109,100,977627.375
"42",1,2110,100,1003037.8125
"43",1,2111,100,1039776
"44",1,2112,100,1068901.375
"45",1,2113,100,1092035.375
"46",1,2114,100,1114468.375
"47",1,2115,100,1137864.875
"48",1,2116,100,1152830.125
"49",1,2201,100,824318
"50",1,2202,100,843570.125
"51",1,2203,100,867270.8125
"52",1,2204,100,893216.3125
"53",1,2205,100,914084.3125
"54",1,2206,100,932725.6875
"55",1,2207,100,951404.8125
"56",1,2208,100,966330.875
"57",1,2209,100,981705.875
"58",1,2210,100,1012330.5
"59",1,2211,100,1050173.875
"60",1,2212,100,1076512.5
"61",1,2213,100,1100571.5
"62",1,2214,100,1122224.625
"63",1,2215,100,1142010
"64",1,2216,100,1156095.125
"65",1,1101,101,771136.375
"66",1,1102,101,790760.6875
"67",1,1103,101,810802.6875
"68",1,1104,101,830514.125
"69",1,1105,101,837259.6875
"70",1,1106,101,860099.6875
"71",1,1107,101,870571.5
"72",1,1108,101,884611.75
"73",1,1109,101,891474.5625
"74",1,1110,101,909731.5625
"75",1,1111,101,935785.75
"76",1,1112,101,944971.1875
"77",1,1113,101,954622.5625
"78",1,1114,101,960331.1875
"79",1,1115,101,962491.5625
"80",1,1116,101,971921.5625
"81",1,1201,101,773967.25
"82",1,1202,101,791795.4375
"83",1,1203,101,813669.125
"84",1,1204,101,832116.25
"85",1,1205,101,837977.125
"86",1,1206,101,852073.875
"87",1,1207,101,872463.5
"88",1,1208,101,884786.6875
"89",1,1209,101,896827
"90",1,1210,101,915036.6875
"91",1,1211,101,939339.8125
"92",1,1212,101,951962.375
"93",1,1213,101,961384.6875
"94",1,1214,101,966017.25
"95",1,1215,101,977514.5625
"96",1,1216,101,986602.0625
"97",1,2101,101,780248.9375
"98",1,2102,101,795395.4375
"99",1,2103,101,816800
"100",1,2104,101,836950
"101",1,2105,101,836202.8125
"102",1,2106,101,868780.5625
"103",1,2107,101,882743.3125
"104",1,2108,101,894653.4375
"105",1,2109,101,903550
"106",1,2110,101,925228.0625
"107",1,2111,101,951754.875
"108",1,2112,101,970598.6875
"109",1,2113,101,983034.625
"110",1,2114,101,993464.1875
"111",1,2115,101,1006358.3125
"112",1,2116,101,1006590.9375
"113",1,2201,101,782109.25
"114",1,2202,101,799245.5
"115",1,2203,101,819566.625
"116",1,2204,101,840545.125
"117",1,2205,101,847143.3125
"118",1,2206,101,869305.1875
"119",1,2207,101,884806.875
"120",1,2208,101,896848.5625
"121",1,2209,101,908032.25
"122",1,2210,101,930781.1875
"123",1,2211,101,960326.375
"124",1,2212,101,975450.3125
"125",1,2213,101,989818.375
"126",1,2214,101,1001178.0625
"127",1,2215,101,1009605.5
"128",1,2216,101,1016194.125
"129",1,1101,102,2348692
"130",1,1102,102,2410719
"131",1,1103,102,2482496
"132",1,1104,102,2550063
"133",1,1105,102,2615686
"134",1,1106,102,2661305
"135",1,1107,102,2708169
"136",1,1108,102,2762050
"137",1,1109,102,2802481
"138",1,1110,102,2858387
"139",1,1111,102,2965932
"140",1,1112,102,3023858
"141",1,1113,102,3077924
"142",1,1114,102,3131021
"143",1,1115,102,3152112
"144",1,1116,102,3205620
"145",1,1201,102,2357430
"146",1,1202,102,2416843
"147",1,1203,102,2492526
"148",1,1204,102,2560033
"149",1,1205,102,2619937
"150",1,1206,102,2658757
"151",1,1207,102,2713440
"152",1,1208,102,2763798
"153",1,1209,102,2807981
"154",1,1210,102,2882690
"155",1,1211,102,2980572
"156",1,1212,102,3043206
"157",1,1213,102,3090299
"158",1,1214,102,3138968
"159",1,1215,102,3187377
"160",1,1216,102,3232506
"161",1,2101,102,2364869
"162",1,2102,102,2415094
"163",1,2103,102,2486533
"164",1,2104,102,2557263
"165",1,2105,102,2616929
"166",1,2106,102,2673515
"167",1,2107,102,2728177
"168",1,2108,102,2776730
"169",1,2109,102,2815567
"170",1,2110,102,2888749
"171",1,2111,102,2994555
"172",1,2112,102,3078436
"173",1,2113,102,3145062
"174",1,2114,102,3209669
"175",1,2115,102,3277051
"176",1,2116,102,3320151
"177",1,2201,102,2374036
"178",1,2202,102,2429482
"179",1,2203,102,2497740
"180",1,2204,102,2572463
"181",1,2205,102,2632563
"182",1,2206,102,2686250
"183",1,2207,102,2740046
"184",1,2208,102,2783033
"185",1,2209,102,2827313
"186",1,2210,102,2915512
"187",1,2211,102,3024501
"188",1,2212,102,3100356
"189",1,2213,102,3169646
"190",1,2214,102,3232007
"191",1,2215,102,3288989
"192",1,2216,102,3329554
"193",1,1101,103,2220873
"194",1,1102,103,2277391
"195",1,1103,103,2335112
"196",1,1104,103,2391881
"197",1,1105,103,2411308
"198",1,1106,103,2477087
"199",1,1107,103,2507246
"200",1,1108,103,2547682
"201",1,1109,103,2567447
"202",1,1110,103,2620027
"203",1,1111,103,2695063
"204",1,1112,103,2721517
"205",1,1113,103,2749313
"206",1,1114,103,2765754
"207",1,1115,103,2771976
"208",1,1116,103,2799134
"209",1,1201,103,2229026
"210",1,1202,103,2280371
"211",1,1203,103,2343367
"212",1,1204,103,2396495
"213",1,1205,103,2413374
"214",1,1206,103,2453973
"215",1,1207,103,2512695
"216",1,1208,103,2548186
"217",1,1209,103,2582862
"218",1,1210,103,2635306
"219",1,1211,103,2705299
"220",1,1212,103,2741652
"221",1,1213,103,2768788
"222",1,1214,103,2782130
"223",1,1215,103,2815242
"224",1,1216,103,2841414
"225",1,2101,103,2247117
"226",1,2102,103,2290739
"227",1,2103,103,2352384
"228",1,2104,103,2410416
"229",1,2105,103,2408264
"230",1,2106,103,2502088
"231",1,2107,103,2542301
"232",1,2108,103,2576602
"233",1,2109,103,2602224
"234",1,2110,103,2664657
"235",1,2111,103,2741054
"236",1,2112,103,2795324
"237",1,2113,103,2831140
"238",1,2114,103,2861177
"239",1,2115,103,2898312
"240",1,2116,103,2898982
"241",1,2201,103,2252475
"242",1,2202,103,2301827
"243",1,2203,103,2360352
"244",1,2204,103,2420770
"245",1,2205,103,2439773
"246",1,2206,103,2503599
"247",1,2207,103,2548244
"248",1,2208,103,2582924
"249",1,2209,103,2615133
"250",1,2210,103,2680650
"251",1,2211,103,2765740
"252",1,2212,103,2809297
"253",1,2213,103,2850677
"254",1,2214,103,2883393
"255",1,2215,103,2907664
"256",1,2216,103,2926639
"257",1,1101,200,0
"258",1,1101,200,0.00118782033678144
"259",1,1101,200,0.00118782033678144
"260",1,1102,200,0
"261",1,1102,200,0.00121640134602785
"262",1,1102,200,0.00121640134602785
"263",1,1103,200,0
"264",1,1103,200,0.00117118610069156
"265",1,1103,200,0.00117118610069156
"266",1,1104,200,0
"267",1,1104,200,0.00114599952939898
"268",1,1104,200,0.00114599952939898
"269",1,1105,200,0
"270",1,1105,200,0.00121709029190242
"271",1,1105,200,0.00121709029190242
"272",1,1106,200,0
"273",1,1106,200,0.00110137567389756
"274",1,1106,200,0.00110137567389756
"275",1,1107,200,0
"276",1,1107,200,0.00103263114579022
"277",1,1107,200,0.00103263114579022
