,lane,tile,cycle,errorrate,nPerfect,n1Error,n2Error,n3Error,n4Error
127,1,2215,2,0.166578993,11342,66,0,0,0
128,1,2216,2,0.085215166,11682,55,0,0,0
129,1,1101,3,0.057142857,10443,57,0,0,0
130,1,1102,3,0.068013988,10244,48,0,0,0
131,1,1103,3,0.087099582,10281,52,0,0,0
132,1,1104,3,0.074487895,10690,50,0,0,0
133,1,1105,3,0.056385677,10585,56,0,0,0
134,1,1106,3,0.055720653,10720,48,0,0,0
135,1,1107,3,0.046904314,10616,44,0,0,0
136,1,1108,3,0.091107875,10913,64,0,0,0
137,1,1109,3,0.083534434,10726,48,0,0,0
138,1,1110,3,0.064605445,10773,62,0,0,0
139,1,1111,3,0.063068748,11051,48,0,0,0
140,1,1112,3,0.092447072,10757,60,0,0,0
141,1,1113,3,0.065463386,10634,59,0,0,0
142,1,1114,3,0.114624128,10411,59,0,0,0
143,1,1115,3,0.056475904,10565,60,0,0,0
144,1,1116,3,0.084301233,10630,48,0,0,0
145,1,1201,3,0.066755675,10436,50,0,0,0
146,1,1202,3,0.151759461,10481,62,0,0,0
147,1,1203,3,0.056438718,10582,50,0,0,0
148,1,1204,3,0.075607218,10523,58,0,0,0
149,1,1205,3,0.037530493,10606,52,0,0,0
150,1,1206,3,1.728208542,10361,229,0,0,0
151,1,1207,3,0.07334739,10847,61,0,0,0
152,1,1208,3,0.045708016,10890,49,0,0,0
153,1,1209,3,0.072753727,10940,57,0,0,0
154,1,1210,3,0.027855154,10725,47,0,0,0
155,1,1211,3,0.126662448,10990,63,0,0,0
156,1,1212,3,0.055457991,10752,68,0,0,0
157,1,1213,3,0.093799829,10595,68,0,0,0
158,1,1214,3,0.073903002,10755,71,0,0,0
159,1,1215,3,0.091954023,10815,60,0,0,0
160,1,1216,3,0.106515177,11205,61,0,0,0
161,1,2101,3,0.104225889,10501,53,0,0,0
162,1,2102,3,0.074801311,10648,47,0,0,0
163,1,2103,3,0.036985669,10761,55,0,0,0
164,1,2104,3,0.064480469,10808,48,0,0,0
165,1,2105,3,0.037654147,10579,44,0,0,0
166,1,2106,3,0.120059103,10763,67,0,0,0
167,1,2107,3,0.080609046,11119,46,0,0,0
