"","lane","tile","cycle","errorrate","nPerfect","n1Error","n2Error","n3Error","n4Error"
"1077",1,2112,2,0.062819704413414,11082,62,0,0,0
"1088",1,2113,2,0.125661969184875,11078,65,0,0,0
"1127",1,2114,2,0.116029992699623,11151,53,0,0,0
"1136",1,2115,2,0.143975526094437,11059,56,0,0,0
"1202",1,2116,2,0.0875810161232948,11369,49,0,0,0
"1158",1,2201,2,0.074822299182415,10650,42,0,0,0
"1227",1,2202,2,0.148657441139221,10713,50,0,0,0
"1252",1,2203,2,0.111607141792774,10708,45,0,0,0
"1277",1,2204,2,0.137249514460564,10874,56,0,0,0
"1302",1,2205,2,0.109739370644093,10888,49,0,0,0
"1327",1,2206,2,0.125538021326065,11090,62,0,0,0
"1341",1,2207,2,0.0710542649030685,11218,41,0,0,0
"1402",1,2208,2,0.0787539407610893,11377,53,0,0,0
"1367",1,2209,2,0.106619283556938,11211,51,0,0,0
"1427",1,2210,2,0.131879732012749,11323,53,0,0,0
"1452",1,2211,2,0.0719812884926796,11070,45,0,0,0
"1477",1,2212,2,0.130242243409157,11461,58,0,0,0
"1502",1,2213,2,0.141267880797386,11268,59,0,0,0
"1552",1,2214,2,0.148445680737495,11389,65,0,0,0
"1577",1,2215,2,0.166578993201256,11342,66,0,0,0
"1627",1,2216,2,0.0852151662111282,11682,55,0,0,0
"3",1,1101,3,0.0571428574621677,10443,57,0,0,0
"17",1,1102,3,0.0680139884352684,10244,48,0,0,0
"51",1,1103,3,0.0870995819568634,10281,52,0,0,0
"39",1,1104,3,0.0744878947734833,10690,50,0,0,0
"53",1,1105,3,0.0563856773078442,10585,56,0,0,0
"112",1,1106,3,0.0557206533849239,10720,48,0,0,0
"105",1,1107,3,0.0469043143093586,10616,44,0,0,0
"125",1,1108,3,0.0911078751087189,10913,64,0,0,0
"203",1,1109,3,0.0835344344377518,10726,48,0,0,0
"228",1,1110,3,0.0646054446697235,10773,62,0,0,0
"253",1,1111,3,0.0630687475204468,11051,48,0,0,0
"262",1,1112,3,0.0924470722675323,10757,60,0,0,0
"266",1,1113,3,0.0654633864760399,10634,59,0,0,0
"339",1,1114,3,0.114624127745628,10411,59,0,0,0
"313",1,1115,3,0.0564759038388729,10565,60,0,0,0
"348",1,1116,3,0.084301233291626,10630,48,0,0,0
"403",1,1201,3,0.0667556747794151,10436,50,0,0,0
"428",1,1202,3,0.151759460568428,10481,62,0,0,0
"453",1,1203,3,0.0564387179911137,10582,50,0,0,0
"470",1,1204,3,0.0756072178483009,10523,58,0,0,0
"485",1,1205,3,0.037530492991209,10606,52,0,0,0
"528",1,1206,3,1.72820854187012,10361,229,0,0,0
"535",1,1207,3,0.0733473896980286,10847,61,0,0,0
"563",1,1208,3,0.0457080155611038,10890,49,0,0,0
"603",1,1209,3,0.0727537274360657,10940,57,0,0,0
"628",1,1210,3,0.0278551541268826,10725,47,0,0,0
"653",1,1211,3,0.126662448048592,10990,63,0,0,0
"678",1,1212,3,0.05545799061656,10752,68,0,0,0
"686",1,1213,3,0.0937998294830322,10595,68,0,0,0
"728",1,1214,3,0.073903001844883,10755,71,0,0,0
"733",1,1215,3,0.0919540226459503,10815,60,0,0,0
"778",1,1216,3,0.106515176594257,11205,61,0,0,0
"803",1,2101,3,0.104225888848305,10501,53,0,0,0
"828",1,2102,3,0.0748013108968735,10648,47,0,0,0
"853",1,2103,3,0.036985669285059,10761,55,0,0,0
"878",1,2104,3,0.0644804686307907,10808,48,0,0,0
"891",1,2105,3,0.0376541465520859,10579,44,0,0,0
"930",1,2106,3,0.120059102773666,10763,67,0,0,0
"931",1,2107,3,0.0806090459227562,11119,46,0,0,0
"978",1,2108,3,0.0180099047720432,11054,51,0,0,0
"1003",1,2109,3,0.0712377578020096,11171,59,0,0,0
"1028",1,2110,3,0.0632396787405014,10999,70,0,0,0
"1053",1,2111,3,0.0714860185980797,11141,52,0,0,0
"1078",1,2112,3,0.0807681977748871,11073,71,0,0,0
"1090",1,2113,3,0.0628309845924377,11071,72,0,0,0
"1128",1,2114,3,0.0535523034632206,11145,59,0,0,0
"1138",1,2115,3,0.13497705757618,11044,71,0,0,0
"1203",1,2116,3,0.105097211897373,11357,61,0,0,0
"1161",1,2201,3,0.0841750875115395,10641,51,0,0,0
"1228",1,2202,3,0.0650376304984093,10706,57,0,0,0
"1253",1,2203,3,0.111607141792774,10696,57,0,0,0
"1278",1,2204,3,0.100649647414684,10863,67,0,0,0
"1303",1,2205,3,0.0548696853220463,10882,55,0,0,0
"1328",1,2206,3,0.0538020096719265,11084,68,0,0,0
"1344",1,2207,3,0.088817834854126,11208,51,0,0,0
"1403",1,2208,3,0.0787470489740372,11368,62,0,0,0
"1369",1,2209,3,0.0532812364399433,11205,57,0,0,0
"1428",1,2210,3,0.105503782629967,11311,65,0,0,0
"1453",1,2211,3,0.0449842549860477,11065,50,0,0,0
"1478",1,2212,3,0.0868206322193146,11451,68,0,0,0
"1503",1,2213,3,0.141255408525467,11252,75,0,0,0
"1553",1,2214,3,0.0873209908604622,11379,75,0,0,0
"1578",1,2215,3,0.0613604485988617,11335,73,0,0,0
"1628",1,2216,3,0.00852006487548351,11681,56,0,0,0
"4",1,1101,4,0.00952380988746881,10442,58,0,0,0
"19",1,1102,4,0.0874465629458427,10235,57,0,0,0
"56",1,1103,4,0.0677441209554672,10274,59,0,0,0
"42",1,1104,4,0.10242085903883,10679,61,0,0,0
"57",1,1105,4,0.0187952257692814,10583,58,0,0,0
"121",1,1106,4,0.0557206533849239,10714,54,0,0,0
"114",1,1107,4,0.0656660422682762,10609,51,0,0,0
"132",1,1108,4,0.063775509595871,10906,71,0,0,0
"204",1,1109,4,0.0371264144778252,10722,52,0,0,0
"229",1,1110,4,0.0553760975599289,10767,68,0,0,0
"254",1,1111,4,0.0540589243173599,11045,54,0,0,0
"265",1,1112,4,0.101691782474518,10746,71,0,0,0
"269",1,1113,4,0.0841672122478485,10625,68,0,0,0
"341",1,1114,4,0.0286560319364071,10408,62,0,0,0
"317",1,1115,4,0.0753012076020241,10557,68,0,0,0
"351",1,1116,4,0.0468340218067169,10625,53,0,0,0
"404",1,1201,4,0.0190730504691601,10434,52,0,0,0
"429",1,1202,4,0.037939865142107,10477,66,0,0,0
"454",1,1203,4,0.0564387179911137,10576,56,0,0,0
"472",1,1204,4,0.0661563202738762,10516,65,0,0,0
"488",1,1205,4,0.0562957413494587,10600,58,0,0,0
"529",1,1206,4,0.00944376271218061,10360,230,0,0,0
"537",1,1207,4,0.0825158134102821,10838,70,0,0,0
"566",1,1208,4,0.082274429500103,10881,58,0,0,0
"604",1,1209,4,0.0545652955770493,10934,63,0,0,0
"629",1,1210,4,0.0464252568781376,10720,52,0,0,0
"654",1,1211,4,0.0633312240242958,10983,70,0,0,0
"679",1,1212,4,0.0462149903178215,10747,73,0,0,0
"688",1,1213,4,0.0562798976898193,10589,74,0,0,0
"730",1,1214,4,0.0277136266231537,10752,74,0,0,0
"734",1,1215,4,0.11034482717514,10803,72,0,0,0
"779",1,1216,4,0.0710101202130318,11197,69,0,0,0
"804",1,2101,4,0.0379003211855888,10497,57,0,0,0
"829",1,2102,4,0.0654511451721191,10641,54,0,0,0
"854",1,2103,4,0.073971338570118,10753,63,0,0,0
"879",1,2104,4,0.0552689768373966,10802,54,0,0,0
"893",1,2105,4,0.0376541465520859,10575,48,0,0,0
"932",1,2106,4,0.0461765788495541,10758,72,0,0,0
"933",1,2107,4,0.0358262434601784,11115,50,0,0,0
"979",1,2108,4,0.0450247637927532,11049,56,0,0,0
"1004",1,2109,4,0.0356188789010048,11167,63,0,0,0
"1029",1,2110,4,0.0722739174962044,10991,78,0,0,0
"1054",1,2111,4,0.0714860185980797,11133,60,0,0,0
"1079",1,2112,4,0.0538454651832581,11067,77,0,0,0
"1092",1,2113,4,0.0897585526108742,11061,82,0,0,0
"1129",1,2114,4,0.160656914114952,11127,77,0,0,0
"1140",1,2115,4,0.0359938815236092,11040,75,0,0,0
"1204",1,2116,4,0.0875810161232948,11347,71,0,0,0
"1163",1,2201,4,0.0374391600489616,10637,55,0,0,0
"1229",1,2202,4,0,10706,57,0,0,0
"1254",1,2203,4,0.0279173646122217,10693,60,0,0,0
"1279",1,2204,4,0.0732265412807465,10855,75,0,0,0
"1304",1,2205,4,0.0548847429454327,10876,61,0,0,0
"1329",1,2206,4,0.125583067536354,11070,82,0,0,0
"1346",1,2207,4,0.0888336151838303,11198,61,0,0,0
"1404",1,2208,4,0.0262490157037973,11365,65,0,0,0
"1371",1,2209,4,0.0177604127675295,11203,59,0,0,0
"1429",1,2210,4,0.0527518913149834,11305,71,0,0,0
"1454",1,2211,4,0.0719748064875603,11057,58,0,0,0
"1479",1,2212,4,0.0347282513976097,11447,72,0,0,0
"1504",1,2213,4,0.0529707781970501,11246,81,0,0,0
"1554",1,2214,4,0.0873209908604622,11369,85,0,0,0
"1579",1,2215,4,0.0788920074701309,11326,82,0,0,0
"1629",1,2216,4,0.0596404522657394,11674,63,0,0,0
"5",1,1101,5,0.0285714287310839,10439,61,0,0,0
"21",1,1102,5,0.0485814213752747,10230,62,0,0,0
"60",1,1103,5,0.0774218514561653,10266,67,0,0,0
"47",1,1104,5,0.130353823304176,10665,75,0,0,0
"61",1,1105,5,0.0939761325716972,10573,68,0,0,0
"127",1,1106,5,0.0928677543997765,10704,64,0,0,0
"119",1,1107,5,0.0562851764261723,10603,57,0,0,0
"138",1,1108,5,0.0455539375543594,10901,76,0,0,0
"205",1,1109,5,0.0649712234735489,10715,59,0,0,0
"230",1,1110,5,0.0369173958897591,10763,72,0,0,0
"255",1,1111,5,0.0360392816364765,11041,58,0,0,0
"268",1,1112,5,0.0832023695111275,10737,80,0,0,0
"270",1,1113,5,0.0748153030872345,10617,76,0,0,0
"343",1,1114,5,0.0668640732765198,10401,69,0,0,0
"320",1,1115,5,0.0564759038388729,10551,74,0,0,0
"354",1,1116,5,0.084301233291626,10616,62,0,0,0
"405",1,1201,5,0.028609573841095,10431,55,0,0,0
"430",1,1202,5,0.0948496609926224,10467,76,0,0,0
"455",1,1203,5,0.0564387179911137,10570,62,0,0,0
"474",1,1204,5,0.0378036089241505,10512,69,0,0,0
"491",1,1205,5,0.0844436138868332,10591,67,0,0,0
"530",1,1206,5,0.0661063343286514,10353,237,0,0,0
"539",1,1207,5,0.100852660834789,10827,81,0,0,0
"569",1,1208,5,0.0548496209084988,10875,64,0,0,0
"605",1,1209,5,0.0909421592950821,10924,73,0,0,0
"630",1,1210,5,0.0649953559041023,10713,59,0,0,0
"655",1,1211,5,0.0542839057743549,10977,76,0,0,0
"680",1,1212,5,0.0739439874887466,10739,81,0,0,0
"690",1,1213,5,0.112559795379639,10577,86,0,0,0
"732",1,1214,5,0.0554272532463074,10746,80,0,0,0
"736",1,1215,5,0.0367816090583801,10799,76,0,0,0
"780",1,1216,5,0.0710101202130318,11189,77,0,0,0
"805",1,2101,5,0.0663255602121353,10490,64,0,0,0
"830",1,2102,5,0.0654511451721191,10634,61,0,0,0
"855",1,2103,5,0.0647249221801758,10746,70,0,0,0
"880",1,2104,5,0.0644804686307907,10795,61,0,0,0
"895",1,2105,5,0.0658947601914406,10568,55,0,0,0
"934",1,2106,5,0.0646472126245499,10751,79,0,0,0
"935",1,2107,5,0.125391855835915,11101,64,0,0,0
"980",1,2108,5,0.0450247637927532,11044,61,0,0,0
"1005",1,2109,5,0.0712377578020096,11159,71,0,0,0
"1030",1,2110,5,0.0722739174962044,10983,86,0,0,0
"1055",1,2111,5,0.0446787588298321,11128,65,0,0,0
"1080",1,2112,5,0.0807681977748871,11058,86,0,0,0
"1095",1,2113,5,0.0987344011664391,11050,93,0,0,0
"1130",1,2114,5,0.0624776855111122,11120,84,0,0,0
"1141",1,2115,5,0.0539908222854137,11034,81,0,0,0
"1205",1,2116,5,0.0875810161232948,11337,81,0,0,0
"1165",1,2201,5,0.0561167225241661,10631,61,0,0,0
"1230",1,2202,5,0.0557465404272079,10700,63,0,0,0
"1255",1,2203,5,0.102306544780731,10682,71,0,0,0
"1280",1,2204,5,0.0548998080193996,10849,81,0,0,0
"1305",1,2205,5,0.0457247383892536,10871,66,0,0,0
"1330",1,2206,5,0.0448350086808205,11065,87,0,0,0
"1348",1,2207,5,0.0355271324515343,11194,65,0,0,0
"1405",1,2208,5,0.0612477026879787,11358,72,0,0,0
"1372",1,2209,5,0.0621614418923855,11196,66,0,0,0
"1430",1,2210,5,0.105503782629967,11293,83,0,0,0
"1455",1,2211,5,0.0899685099720955,11047,68,0,0,0
"1480",1,2212,5,0.0694565027952194,11439,80,0,0,0
"1505",1,2213,5,0.07945616543293,11237,90,0,0,0
"1555",1,2214,5,0.0873209908604622,11359,95,0,0,0
"1580",1,2215,5,0.105189338326454,11314,94,0,0,0
"1630",1,2216,5,0.0340802595019341,11670,67,0,0,0
"6",1,1101,6,0.104761905968189,10428,72,0,0,0
"23",1,1102,6,0.0680139884352684,10223,69,0,0,0
"65",1,1103,6,0.0677441209554672,10259,74,0,0,0
"50",1,1104,6,0.0931098684668541,10655,85,0,0,0
