"","lane","tile","cycle","errorrate","nPerfect","n1Error","n2Error","n3Error","n4Error"
"6208",2,2216,97,0.265934646129608,10899,812,51,8,5
"6209",2,1101,98,0.23665277659893,9988,673,24,10,5
"6210",2,1102,98,0.290834039449692,10023,722,27,3,1
"6211",2,1103,98,0.256434619426727,9865,721,44,13,3
"6212",2,1104,98,0.310822278261185,10012,692,31,4,4
"6213",2,1105,98,0.28942209482193,9945,761,85,25,6
"6214",2,1106,98,0.244410246610641,10418,709,40,11,10
"6215",2,1107,98,0.291944175958633,10328,737,25,17,4
"6216",2,1108,98,0.306085705757141,10430,743,36,10,4
"6217",2,1109,98,0.338765799999237,10264,736,31,11,7
"6218",2,1110,98,0.332405000925064,10435,764,39,11,10
"6219",2,1111,98,0.260537832975388,10072,755,42,10,9
"6220",2,1112,98,0.385568708181381,10149,794,52,16,4
"6221",2,1113,98,0.223505303263664,10066,738,49,12,2
"6222",2,1114,98,0.307491600513458,9988,791,46,14,3
"6223",2,1115,98,0.304091423749924,10091,804,58,19,4
"6224",2,1116,98,0.402252614498138,10499,737,51,14,5
"6225",2,1201,98,0.298507452011108,9458,678,25,4,4
"6226",2,1202,98,0.232774674892426,10146,678,27,8,2
"6227",2,1203,98,0.28299218416214,9923,755,43,13,4
"6228",2,1204,98,0.282220125198364,10002,703,36,9,0
"6229",2,1205,98,0.287081331014633,9681,748,79,36,12
"6230",2,1206,98,0.337078660726547,10093,688,28,13,4
"6231",2,1207,98,0.409351408481598,10316,753,33,9,4
"6232",2,1208,98,0.283908784389496,10233,743,46,5,7
"6233",2,1209,98,0.251818686723709,10096,695,44,10,2
"6234",2,1210,98,0.316073268651962,10067,768,33,8,5
"6235",2,1211,98,0.3501335978508,10141,779,42,17,4
"6236",2,1212,98,0.411253392696381,10060,700,42,9,11
"6237",2,1213,98,0.355206578969955,10014,720,53,11,2
"6238",2,1214,98,0.301204830408096,10196,780,42,22,5
"6239",2,1215,98,0.388098329305649,10090,781,68,11,9
"6240",2,1216,98,0.309159964323044,10581,763,64,20,5
"6241",2,2101,98,0.23957833647728,9799,689,27,9,8
"6242",2,2102,98,0.279199630022049,10130,712,29,4,1
"6243",2,2103,98,0.312614917755127,10201,738,38,9,4
"6244",2,2104,98,0.301562637090683,10246,757,30,0,3
"6245",2,2105,98,0.2502780854702,10064,749,68,27,15
"6246",2,2106,98,0.270684838294983,10425,734,34,4,4
"6247",2,2107,98,0.274944573640823,10577,781,30,11,6
"6248",2,2108,98,0.266217052936554,10660,721,27,4,11
"6249",2,2109,98,0.235027849674225,10883,712,25,7,2
"6250",2,2110,98,0.274676591157913,10668,720,31,8,4
"6251",2,2111,98,0.233725756406784,10849,810,33,9,6
"6252",2,2112,98,0.310807198286057,10562,761,44,6,4
"6253",2,2113,98,0.310503900051117,10570,786,41,8,5
